id,db_created_time,session_created_time,user_id,session_type
117,2024-05-02 16:14:03.20727+00,1714666442624,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
118,2024-05-02 16:14:17.629025+00,1714666442624,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
119,2024-05-02 16:14:35.341932+00,1714666472425,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
120,2024-05-02 16:17:34.861951+00,1714666472425,user_2fubEqFupXMtlGz9D2mSCro6Upu,ended
121,2024-05-02 16:18:21.256396+00,1714666700530,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
122,2024-05-02 16:18:56.455376+00,1714666735369,user_2fv0fDkDyb3i704tflTsiu8FFji,started
123,2024-05-02 17:31:05.675096+00,1714666397586,user_2fv0fDkDyb3i704tflTsiu8FFji,ended
124,2024-05-02 17:33:18.876019+00,1714671196828,user_2fvAUuonHQEAlMhfRW7UndmURrU,started
125,2024-05-02 17:35:38.125601+00,1714671335704,user_2fvAmOXVDBXPwTaIE7e5OopKjOL,started
126,2024-05-02 17:37:17.725885+00,1714671335704,user_2fvAmOXVDBXPwTaIE7e5OopKjOL,ended
127,2024-05-02 17:37:55.929309+00,1714671475355,user_2fvB3yH3eaHyFJpTDpDi96utLpM,started
128,2024-05-02 17:38:44.146257+00,1714671523496,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
129,2024-05-02 18:36:00.993714+00,1714674959190,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
130,2024-05-02 20:16:32.634036+00,1714680991156,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
131,2024-05-03 03:46:06.762139+00,1714642638833,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
132,2024-05-03 03:46:15.332753+00,1714707974122,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
133,2024-05-03 04:57:17.574197+00,1714707974122,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
134,2024-05-03 04:57:55.613725+00,1714712272204,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
135,2024-05-03 06:45:27.638076+00,1714666700530,user_2fubEqFupXMtlGz9D2mSCro6Upu,ended
136,2024-05-03 06:45:47.085768+00,1714718746131,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
137,2024-05-03 06:51:16.167038+00,1714718746131,user_2fubEqFupXMtlGz9D2mSCro6Upu,ended
138,2024-05-03 06:53:52.024637+00,1714719231283,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
