id,created_at,user_id,slant,complexity,entertainment,sentiment
355,2024-05-03 17:34:01.497967+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
356,2024-05-03 17:39:26.945692+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
357,2024-05-03 17:39:41.305793+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
358,2024-05-03 17:39:59.946658+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
359,2024-05-03 17:40:16.216527+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
360,2024-05-03 17:40:34.80347+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
361,2024-05-03 17:40:45.880991+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
362,2024-05-03 17:45:38.811378+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,100
363,2024-05-03 17:45:44.967434+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
364,2024-05-03 17:45:51.431429+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
365,2024-05-03 17:46:34.870719+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
366,2024-05-03 17:46:44.645737+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
367,2024-05-03 17:47:12.469096+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
368,2024-05-03 17:47:28.496006+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
369,2024-05-03 17:48:35.627128+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
370,2024-05-03 18:04:58.000307+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
371,2024-05-03 18:08:41.976809+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
372,2024-05-03 18:11:11.161596+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
373,2024-05-03 18:15:56.582756+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
374,2024-05-03 18:16:30.206536+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
375,2024-05-03 18:17:28.252838+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
376,2024-05-03 19:01:53.773781+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
377,2024-05-03 19:12:48.372646+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
378,2024-05-03 19:19:00.423219+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
